TSRAM Cache State:
Block Number | MESI State | Tag        
---------------------------------------------------
           0 | EXCLUSIVE   | 0x00000000
           1 | INVALID     | 0x00000000
           2 | INVALID     | 0x00000000
           3 | INVALID     | 0x00000000
           4 | INVALID     | 0x00000000
           5 | INVALID     | 0x00000000
           6 | INVALID     | 0x00000000
           7 | INVALID     | 0x00000000
           8 | INVALID     | 0x00000000
           9 | INVALID     | 0x00000000
          10 | INVALID     | 0x00000000
          11 | INVALID     | 0x00000000
          12 | INVALID     | 0x00000000
          13 | INVALID     | 0x00000000
          14 | INVALID     | 0x00000000
          15 | INVALID     | 0x00000000
          16 | INVALID     | 0x00000000
          17 | INVALID     | 0x00000000
          18 | INVALID     | 0x00000000
          19 | INVALID     | 0x00000000
          20 | INVALID     | 0x00000000
          21 | INVALID     | 0x00000000
          22 | INVALID     | 0x00000000
          23 | INVALID     | 0x00000000
          24 | INVALID     | 0x00000000
          25 | INVALID     | 0x00000000
          26 | INVALID     | 0x00000000
          27 | INVALID     | 0x00000000
          28 | INVALID     | 0x00000000
          29 | INVALID     | 0x00000000
          30 | INVALID     | 0x00000000
          31 | INVALID     | 0x00000000
          32 | INVALID     | 0x00000000
          33 | INVALID     | 0x00000000
          34 | INVALID     | 0x00000000
          35 | INVALID     | 0x00000000
          36 | INVALID     | 0x00000000
          37 | INVALID     | 0x00000000
          38 | INVALID     | 0x00000000
          39 | INVALID     | 0x00000000
          40 | INVALID     | 0x00000000
          41 | INVALID     | 0x00000000
          42 | INVALID     | 0x00000000
          43 | INVALID     | 0x00000000
          44 | INVALID     | 0x00000000
          45 | INVALID     | 0x00000000
          46 | INVALID     | 0x00000000
          47 | INVALID     | 0x00000000
          48 | INVALID     | 0x00000000
          49 | INVALID     | 0x00000000
          50 | INVALID     | 0x00000000
          51 | INVALID     | 0x00000000
          52 | INVALID     | 0x00000000
          53 | INVALID     | 0x00000000
          54 | INVALID     | 0x00000000
          55 | INVALID     | 0x00000000
          56 | INVALID     | 0x00000000
          57 | INVALID     | 0x00000000
          58 | INVALID     | 0x00000000
